answer_format,extracted_none,format_ok,n,numeric,numeric_exact,reasoning_format,reward_recomputed,reward_total,robust_numeric_exact,role,rollouts_seen,trace_call_index
0.1,0.5,0.0,8,0.11875000000000001,0.0,0.02500000000000002,0.24375,0.24375000037252903,0.0,train,1200.3422648583085,1618
0.0625,0.625,0.0,8,0.325,0.125,-0.04999999999999999,0.3375,0.3374999985098839,0.125,train,1201.0841327599514,1619
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1201.8260006615944,1620
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1202.5678685632374,1621
0.2,0.0,0.0,8,0.325,0.25,0.20000000000000004,0.7250000000000001,0.7249999940395355,0.25,train,1203.3097364648804,1622
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1204.0516043665234,1623
0.17500000000000002,0.125,0.0,8,1.0,0.875,0.15000000000000002,1.3250000000000002,1.3249999806284904,0.875,train,1204.7934722681662,1624
0.05,0.75,0.0,8,0.1,0.0,-0.024999999999999994,0.125,0.125,0.0,train,1205.5353401698092,1625
0.125,0.375,0.0,8,0.2125,0.125,0.07500000000000001,0.41250000000000003,0.4124999977648258,0.125,train,1206.2772080714522,1626
0.17500000000000002,0.125,0.0,8,0.34375,0.25,0.13750000000000004,0.65625,0.6562499906867743,0.25,train,1207.0190759730951,1627
0.15000000000000002,0.25,0.0,8,0.2125,0.125,0.12500000000000003,0.48750000000000004,0.48749999701976776,0.125,train,1207.7609438747381,1628
0.2,0.0,0.0,8,0.6625,0.625,0.18750000000000003,1.05,1.0499999821186066,0.625,train,1208.5028117763811,1629
0.2,0.0,0.0,8,0.2875,0.125,0.16250000000000003,0.65,0.6499999910593033,0.125,train,1209.244679678024,1630
0.2,0.0,0.0,8,0.8875,0.875,0.20000000000000004,1.2875,1.2874999791383743,0.875,train,1209.9865475796669,1631
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1210.72841548131,1632
0.125,0.375,0.0,8,0.325,0.25,0.08750000000000002,0.5375000000000001,0.5374999940395355,0.25,train,1211.4702833829529,1633
0.2,0.0,0.0,8,1.0,1.0,0.20000000000000004,1.4000000000000001,1.399999976158142,1.0,train,1212.2121512845958,1634
0.17500000000000002,0.125,0.0,8,0.4375,0.375,0.11250000000000002,0.7250000000000001,0.7249999903142452,0.375,train,1212.9540191862388,1635
0.2,0.0,0.0,8,0.38125,0.25,0.17500000000000004,0.75625,0.7562499791383743,0.25,train,1213.6958870878818,1636
0.2,0.0,0.0,8,0.8875,0.875,0.18750000000000003,1.2750000000000001,1.274999976158142,0.875,train,1214.4377549895248,1637
0.125,0.375,0.0,8,0.11875000000000001,0.0,0.06250000000000001,0.30625,0.3062499985098839,0.0,train,1215.1796228911676,1638
