source,run,metric,tag,step,wall_time,value
tensorboard,baseline,mean_reward,rewards/train/score/mean,217,1780933944.9548128,-0.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,218,1780933945.515847,5.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,219,1780933945.8674443,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,220,1780933946.3558173,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,221,1780933946.9085,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,222,1780933947.1656425,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,223,1780933948.823174,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,224,1780933949.4483652,2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,225,1780933950.1477513,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,226,1780933950.4178343,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,227,1780933950.9056437,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,228,1780933952.01558,4.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,229,1780933953.1769388,4.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,230,1780933953.6655521,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,231,1780933953.9965467,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,232,1780933954.7000992,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,233,1780933956.364302,-1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,234,1780933956.8226175,5.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,235,1780933957.526857,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,236,1780933957.88865,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,237,1780933958.2531865,3.125
tensorboard,baseline,mean_reward,rewards/train/score/mean,238,1780933958.9010708,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,239,1780933959.319095,2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,240,1780933960.077703,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,241,1780933960.4015756,3.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,242,1780933960.8530614,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,243,1780933961.269133,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,244,1780933961.7780907,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,245,1780933962.4574885,4.5
