run,metric,step,value
course-baseline-001,train score mean,555,8.0
course-baseline-001,train score mean,556,8.0
course-baseline-001,train score mean,557,4.5
course-baseline-001,train score mean,558,10.0
course-baseline-001,train score mean,559,4.75
course-baseline-001,train score mean,560,2.0
course-baseline-001,train score mean,561,3.25
course-baseline-001,train score mean,562,2.0
course-baseline-001,train score mean,563,7.25
course-baseline-001,train score mean,564,2.0
course-baseline-001,train score mean,565,2.25
course-baseline-001,train score mean,566,4.5
course-baseline-001,train score mean,567,4.75
course-baseline-001,train score mean,568,10.0
course-baseline-001,train score mean,569,8.75
course-baseline-001,train score mean,570,7.25
course-baseline-001,train score mean,571,10.0
course-baseline-001,train score mean,572,4.5
course-baseline-001,train score mean,573,10.0
course-baseline-001,train score mean,574,5.25
course-baseline-001,train score mean,575,10.0
course-baseline-001,train score mean,576,-0.5
course-baseline-001,train score mean,577,4.5
course-baseline-001,train score mean,578,10.0
course-baseline-001,train score mean,579,7.875
course-baseline-001,train score mean,580,4.75
course-baseline-001,train score mean,581,7.25
course-baseline-001,train score mean,582,7.25
course-baseline-001,train score mean,583,-0.5
course-baseline-001,train score mean,584,7.25
course-baseline-001,train score mean,585,2.0
course-baseline-001,train score mean,586,10.0
course-baseline-001,train score mean,587,4.5
course-baseline-001,train score mean,588,4.75
course-baseline-001,train score mean,589,5.25
course-baseline-001,train score mean,590,10.0
course-baseline-001,train score mean,591,4.5
course-baseline-001,train score mean,592,7.25
course-baseline-001,train score mean,593,4.75
course-baseline-001,train score mean,594,4.5
course-baseline-001,train score mean,595,2.0
course-baseline-001,train score mean,596,7.25
course-baseline-001,train score mean,597,10.0
course-baseline-001,train score mean,598,10.0
course-baseline-001,train score mean,599,4.5
course-baseline-001,train score mean,600,7.25
course-baseline-001,train score mean,601,7.25
course-baseline-001,train score mean,602,10.0
course-baseline-001,train score mean,603,7.25
course-baseline-001,train score mean,604,6.75
course-baseline-001,train score mean,605,7.25
course-baseline-001,train score mean,606,10.0
course-baseline-001,train score mean,607,1.25
course-baseline-001,train score mean,608,5.0
course-baseline-001,train score mean,609,10.0
course-baseline-001,train score mean,610,6.0
course-baseline-001,train score mean,611,4.5
course-baseline-001,train score mean,612,7.25
course-baseline-001,train score mean,613,10.0
course-baseline-001,train score mean,614,4.5
course-baseline-001,train score mean,615,7.25
course-baseline-001,train score mean,616,10.0
course-baseline-001,train score mean,617,4.5
course-baseline-001,train score mean,618,7.25
course-baseline-001,train score mean,619,4.5
course-baseline-001,train score mean,620,7.25
course-baseline-001,train score mean,621,4.75
course-baseline-001,train score mean,622,5.125
course-baseline-001,train score mean,623,4.5
course-baseline-001,train score mean,624,7.875
course-baseline-001,train score mean,625,4.5
course-baseline-001,train score mean,626,5.0
course-baseline-001,train score mean,627,4.25
course-baseline-001,train score mean,628,4.0
course-baseline-001,train score mean,629,2.0
course-baseline-001,train score mean,630,10.0
course-baseline-001,train score mean,631,4.75
course-baseline-001,train score mean,632,4.5
course-baseline-001,train score mean,633,4.5
course-baseline-001,train score mean,634,4.5
course-baseline-001,train score mean,635,4.5
course-baseline-001,train score mean,636,4.5
course-baseline-001,train score mean,637,4.5
course-baseline-001,train score mean,638,3.0
