eval_advantage_std,eval_all_correct_group_rate,eval_all_wrong_group_rate,eval_check_answer,eval_check_numbers,eval_completion_length,eval_empty_response_rate,eval_extracted_none_rate,eval_format_accuracy,eval_frac_reward_zero_std,eval_has_solution_end_rate,eval_kl,eval_loss,eval_match_format_approx,eval_match_format_exact,eval_numeric_exact_rate,eval_numeric_partial_rate,eval_pg_clipfrac,eval_reward_mean,eval_reward_score,eval_reward_std,jax_orbax_write_gbytes,jax_orbax_write_gbytes_per_sec,step,train_advantage_std,train_all_correct_group_rate,train_all_wrong_group_rate,train_check_answer,train_check_numbers,train_completion_length,train_empty_response_rate,train_extracted_none_rate,train_format_accuracy,train_frac_reward_zero_std,train_has_solution_end_rate,train_kl,train_loss,train_match_format_approx,train_match_format_exact,train_numeric_exact_rate,train_numeric_partial_rate,train_pg_clipfrac,train_reward_mean,train_reward_score,train_reward_std
,,,,,,,,,,,,,,,,,,,,,,,72,0.7071057558059692,1.0,0.0,0.0,1.5,155.5,0.0,0.0,0.0,0.0,1.0,0.01418987475335598,0.0011464469134807587,0.0,0.0,1.0,1.0,0.0,0.375,1.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,73,0.0,0.0,1.0,0.0,0.0,768.0,0.0,1.0,0.0,1.0,0.0,-0.004519337322562933,-0.0003601023054216057,-2.5,0.0,0.0,0.0,0.0,-0.625,-2.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,74,0.7071062922477722,0.0,1.0,0.0,0.0,492.5,0.0,0.5,0.0,0.0,0.5,0.003966955002397299,0.00031735640368424356,-1.5,0.0,0.0,0.0,0.0,-0.375,-1.5,1.0
,,,,,,,,,,,,,,,,,,,,,,,75,0.0,1.0,0.0,0.0,1.5,102.0,0.0,0.0,0.0,1.0,1.0,0.0010938305640593171,0.00034912116825580597,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,76,0.7071061134338379,0.0,0.0,-0.5,0.75,294.0,0.0,0.0,0.5,0.0,1.0,0.011362394317984581,0.0008961670100688934,1.0,1.5,0.5,0.5,0.0,0.6875,2.75,0.75
,,,,,,,,,,,,,,,,,,,,,,,77,0.0,0.0,1.0,0.0,0.0,188.0,0.0,0.0,0.0,1.0,1.0,0.03530953824520111,0.0034694543574005365,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,78,0.0,1.0,0.0,0.0,1.5,183.0,0.0,0.0,0.0,1.0,1.0,0.022381752729415894,0.0018538342555984855,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,79,0.0,0.0,1.0,0.0,0.0,106.0,0.0,0.0,0.0,1.0,1.0,-0.010349680669605732,-0.0008105341112241149,-0.5,0.0,0.0,1.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,80,0.0,0.0,1.0,0.0,0.0,111.5,0.0,0.0,0.0,1.0,1.0,0.012013363651931286,0.001058555324561894,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,81,0.7071061134338379,0.0,0.0,0.0,0.75,192.0,0.0,0.0,0.0,0.0,1.0,0.045558445155620575,0.0036313352175056934,-0.5,0.0,0.5,0.5,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,82,0.7071057558059692,0.0,1.0,0.0,0.0,184.5,0.0,0.0,0.0,0.0,1.0,-0.0019045572262257338,-0.00014748658577445894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
,,,,,,,,,,,,,,,,,,,,,,,83,0.7071065902709961,0.0,0.0,1.0,0.75,147.0,0.0,0.0,1.0,0.0,1.0,0.004385222215205431,0.0003534186107572168,2.5,3.0,0.5,0.5,0.0,1.8125,7.25,2.75
,,,,,,,,,,,,,,,,,,,,,,,84,0.0,0.0,1.0,0.0,0.0,191.0,0.0,0.0,0.0,1.0,1.0,0.01047933753579855,0.0008365518879145384,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,85,0.7071061134338379,0.0,0.0,0.0,0.75,109.5,0.0,0.0,0.0,0.0,1.0,0.004185217432677746,0.00033461194834671915,-0.5,0.0,0.5,0.5,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,86,0.0,1.0,0.0,0.0,1.5,194.0,0.0,0.0,0.0,1.0,1.0,0.014786342158913612,0.0012015500105917454,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,87,0.0,1.0,0.0,0.0,1.5,178.0,0.0,0.0,0.0,1.0,1.0,0.026479290798306465,0.0021618283353745937,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,88,0.7071057558059692,0.0,1.0,0.0,0.0,204.5,0.0,0.0,0.0,0.0,1.0,0.0162278451025486,0.0012967693619430065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
,,,,,,,,,,,,,,,,,,,,,,,89,0.0,1.0,0.0,0.0,1.5,169.0,0.0,0.0,0.0,1.0,1.0,0.015147291123867035,0.0020092723425477743,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,90,0.7071057558059692,1.0,0.0,0.0,1.5,192.5,0.0,0.0,0.0,0.0,1.0,0.0007287765038199723,5.844871702720411e-05,0.0,0.0,1.0,1.0,0.0,0.375,1.5,0.5
